dataset	tax_level	analysis_role	variable	variable_display	taxon	rho	p_value	n_samples	FDR_p_value	direction	raw_p_significance	FDR_p_significance
PRJNA255332	Family	METADATA_CORRELATION	Age	Age	Family:Alcaligenaceae	-0.7733110138540842	9.382978349102896e-06	24	6.568084844372028e-05	Negative	p<0.001	p<0.001
PRJNA255332	Family	METADATA_CORRELATION	Age	Age	Family:Anaerovoracaceae	0.15382063092986314	0.47298895404978236	24	0.5093727197459195	Positive	NS	NS
PRJNA255332	Family	METADATA_CORRELATION	Age	Age	Family:Campylobacteraceae	0.3801099481640692	0.06692012333199887	24	0.23422043166199605	Positive	NS	NS
PRJNA255332	Family	METADATA_CORRELATION	Age	Age	Family:Carnobacteriaceae	0.08836504330013416	0.6813705294484422	24	0.6813705294484422	Positive	NS	NS
PRJNA255332	Family	METADATA_CORRELATION	Age	Age	Family:Family_XI	-0.26228989043055695	0.2156510021694824	24	0.34410287242633214	Negative	NS	NS
PRJNA255332	Family	METADATA_CORRELATION	Age	Age	Family:Fusobacteriaceae	-0.7807916524403388	6.737191600915069e-06	24	6.568084844372028e-05	Negative	p<0.001	p<0.001
PRJNA255332	Family	METADATA_CORRELATION	Age	Age	Family:Lachnospiraceae	0.32821301797192687	0.11739299093474165	24	0.27391697884773053	Positive	NS	NS
PRJNA255332	Family	METADATA_CORRELATION	Age	Age	Family:Lactobacillaceae	-0.21693851900138758	0.3085667031270939	24	0.39272125852539225	Negative	NS	NS
PRJNA255332	Family	METADATA_CORRELATION	Age	Age	Family:Neisseriaceae	0.40488956348103794	0.049688505949216095	24	0.23187969442967513	Positive	p<0.05	NS
PRJNA255332	Family	METADATA_CORRELATION	Age	Age	Family:Pasteurellaceae	-0.3525250933772548	0.091113165653577	24	0.2551168638300156	Negative	NS	NS
PRJNA255332	Family	METADATA_CORRELATION	Age	Age	Family:Prevotellaceae	-0.24639353343476558	0.2457877660188087	24	0.34410287242633214	Negative	NS	NS
PRJNA255332	Family	METADATA_CORRELATION	Age	Age	Family:Saccharimonadaceae	0.2590171110490705	0.22164302571385752	24	0.34410287242633214	Positive	NS	NS
PRJNA255332	Family	METADATA_CORRELATION	Age	Age	Family:Veillonellaceae	0.19683430280082795	0.3565945516721042	24	0.4160269769507882	Positive	NS	NS
PRJNA255332	Family	METADATA_CORRELATION	Age	Age	Unclassified_Family	0.26790036937024797	0.20563336311358	24	0.34410287242633214	Positive	NS	NS
